wine_no,designation,winery
58511,Patelin de Tablas  Syrah-Grenache-Mourvèdre-Counoise,Tablas Creek
58512,,Treos
58513,La Roche,Verget
58514,Bramare Marchiori Vineyard,Viña Cobos
58515,Lua Cheia em Vinhas Velhas Reserva Especial,Wines & Winemakers
58624,Premier Cru,Chanson Père et Fils
58516,Chiesa Nera,Clos Venturi
58517,Ephraim Clarke,Cullen
58518,Field Blend Zinfandel,Darcie Kent Vineyards
58519,Mesa Del Sol,DeTierra Vineyards
58520,,Domaine Coquard Loisson-Fleurot
58521,Clos l'Evêque Premier Cru,Domaine de Suremain
58522,Les Cent Vignes Premier Cru,Domaine Jessiaume
58523,Aux Chailloux,Domaine Pascal et Mireille Renaud
58524,Les Tillets,Domaine Pierre Labet
58525,,Duckhorn
58526,Dutton Ranch Shop Block,Dutton-Goldfield
58527,Sun Chase Vineyard,Expression 38
58528,,Wooden Valley
58529,Mountain Estate Grown,Audelssa
58530,,Château Clos Bourbon
58531,,Bovin
58532,,Cambas
58625,,Château de l'Aubrade
58533,Charles VII Blanc de Blancs Brut,Canard-Duchêne
58534,,Château La Grange Clinet
58535,Envy,Coeur d'Alene
58536,,El Molino
58537,,Estate Raptis
58538,Alberello Cinquanta,Giordano
58539,Estate Grown,Ledgewood Creek
58540,Vigneto ai Palazzi,Masottina
58541,Rosé Impérial,Moët & Chandon
58542,Special Cuvée Limited Release Reserva,Montes
58543,Summertime Blanc de Blancs Brut,Pommery
58544,,Ridge
58545,Brut Rosé,Thiénot
58546,,Adler Fels
58547,,Twomey
58548,,White Cottage
58549,,Woodbridge by Robert Mondavi
58550,Vin Gris de Cigare,Bonny Doon
58551,,Leaping Lizard
58553,Titulus,Fazi Battaglia
58554,,Tall Horse
58555,,Kono Barú
58556,Moscato Allegro,Martin & Weyrich
58557,,McWilliam's Hanwood Estate
58558,,Monte del Frá
58559,,Nugan Family Estates
58560,Reserva,Porta
58561,,Rudera
58562,,Del Rio
58563,Oppenheimer Kabinett,Dr. Heyden
58564,,Ecco Domani
58565,,Tall Horse
58566,Stickleback Red,Heartland
58567,,Abacela
58568,,Bilton
58569,Blue Moon,Bridgeview
58662,Cougar Hill,Sobon Estate
58571,Reserve,Silvan Ridge
58572,,Zina Hyde Cunningham
58573,,Valdivieso
58574,Old Vine Cuvee,Trinitas
58575,Estate,Bridlewood
58576,,Buried Cane
58577,,Cantele
58578,Pic Saint-Loup Vieilles Vignes,Château de Lancyre
58579,Riserva Vigna Flaminio,Agricole Vallone
58580,,Arboleda
58581,Pralis,Paladin
58582,,Rosenhof
58583,,Roza Ridge
58584,,Taft Street
58585,22 Black,JAQK Cellars
58586,,Laurent Miquel
58587,,Les Jamelles
58588,,Misiones de Rengo
58589,,Montpezat
58590,Réserve Spéciale,Domaines Barons de Rothschild (Lafite)
58591,Bernkasteler Badstube Kabinett,Dr. H. Thanisch (Erben Thanisch)
58592,La Cuvée Mythique,Les Vignerons de la Méditerranée
58593,,Merry Cellars
58594,Giancarlo Ceci,Agrinatura
58595,,Domaine d'Eugenie
58596,,Domaine du Comte Liger-Belair
58597,Late Disgorged Vintage Brut,J Vineyards & Winery
58598,Elerding Vineyard,Januik
58599,Cuvée M,Laetitia
58600,La Colline,Laetitia
58601,,Maison Champy
58602,Double L Vineyard,Morgan
58603,Les Petits Vougeot Premier Cru,Roux Père et Fils
58604,Sanford & Benedict Vineyard,Sanford
58605,Terroir Coquerel,Cockerell
58606,,Dierberg
58607,Royal Cuvée,Gloria Ferrer
58608,Les Suchots Premier Cru,Bouchard Père & Fils
58609,Rugiens Premier Cru,Bouchard Père & Fils
58610,Clos des Mouches Premier Cru,Chanson Père et Fils
58611,Handal Family Vineyard,Manzanita Creek
58612,Grand Cuveé Estate Grown,Babcock
58613,,Bouchard Père & Fils
58614,Clos des Chênes Premier Cru,Bouchard Père & Fils
58615,Grèves Premier Cru,Chanson Père et Fils
58616,Page-Nord Vineyard,Novy
58617,Isolation Ridge Vineyard,Frankland Estate
58618,Carneros Cuvée,Gloria Ferrer
58619,,Bouchard Père & Fils
58620,,Maison Champy
58621,Domaine du Clos Frantin,Albert Bichot
58622,Caillerets Premier Cru Ancienne Cuvée Carnot,Bouchard Père & Fils
58623,,Calera
58626,Cuvée,Colliano
58627,Serie Riberas Gran Reserva,Concha y Toro
58628,Single Vineyard Block no.23 Rulos del Alta,Cono Sur
58629,Colle dei Cerri,Di Meo
58630,Réserve,Domaine Barmès-Buecher
58631,Clos des Myglands,Domaine Faiveley
58632,,Domaine Sylvain Pataille
58633,La Casita,Durant
58634,Monarch Mine Vineyard,Easton
58635,Limitado,El Pistolero
58636,Taburno,Fattoria La Rivolta
58637,,Stemmari
58638,Terre delle Fate,Feudo Disisa
58639,Piesporter Goldtröpfchen Auslese,Leonard Kreusch
58640,,Fernández Gómez
58641,,Tonnino
58642,Reserve,V. Sattui
58643,,Villa Matilde
58720,,André Kientzler
58644,Bishop's,William Church
58645,McGinley Vineyard Homage Collection,Zaca Mesa
58646,Reserve,Brutocao
58647,,Schloss Vollrads
58648,N Qualitätswein,August Kesseler
58649,,Bagueri
58650,,Boeger
58651,Bell Ranch Vineyard,Boekenoogen
58652,Teacher's Pet,Burrell School Vineyards
58653,,Niner
58654,Vineyard Tsarapi,Our Wine
58655,True Grit Reserve,Parducci
58656,Bussia,Pecchenino
58657,Ornato,Pio Cesare
58658,L'Epinet,Rijckaert
58659,Vale de Poupa Galego Branco,Secret Spot Wines
58660,,Shaw and Smith
58661,Très,Sill Family
58663,,Sur de los Andes
58664,,Red Electra
58665,Estate,Alta Vista
58666,,J. Portugal Ramos
58667,Lozier,Jamie Slone Wines
58668,,Jean-Luc and Paul Aegerter
58669,Battonage Monopole,Kovács Nimród
58670,The Steading Blanc,Torbreck
58671,,Valentin Bianchi
58672,Le Chardonnay d'Alain Brumont,Vignobles Brumont
58673,Locse,Béres
58674,Ovello,Boffa
58675,,Calera
58676,,Casa de Vilacetinho
58677,Lauren's Vineyard,Casarena
58678,Altenasso,Cavalier Bartolomeo
58679,Riva Rocca,Claudio Alario
58680,Les Damodes Premier Cru,Domaine A. Machard de Gramont
58681,,Domaine de la Croix Senaillet
58682,,Domaine de Suremain
58683,Estate Bottled,Finca El Portillo
58684,FV Red Wine,Foundry Vineyards
58685,Col di Manza Extra Dry,Perlage
58686,Catfish Vineyard,Steele
58687,,Targovishte
58688,,Tercos
58689,Medalla,Trapiche
58690,,Mia's Playground
58691,,Alfredo Roca
58692,Le Pique-Nique,Wellington
58693,Altosur,Finca Sophenia
58694,No. IV,Gabarda
58695,Reserve,Acorex
58696,Mercedes Eguren Rosé,Bodegas Eguren
58697,Brut,Varaschin
58698,Oak Cask,Trapiche
58699,Winegrower Selection Chase Vineyard,Lolonis
58721,Boxwood,Boxwood
58700,,San Saba
58701,Wheelhouse,Sextant
58702,Kelinos,Ioannis Hatzis
58703,,Targovishte
58704,Reserva,Finca Los Maza
58705,England Crest,Wellington
58706,Reserve Cuvée,Vercingetorix VX
58707,Coro Mendocino,Golden
58708,,Carneros Ranch
58709,,Cavalierino
58710,,Château Cayla
58711,,Château du Parc
58712,,Château Fontesteau
58713,,Château Laubès
58714,Casalini,Fattoria Fibbiano
58715,The High Trellis,D'Arenberg
58716,,Three Thieves
58717,Reserve,Villa San Juliette
58718,,Vinum
58719,Proprietary Blend Vivacious,3 Horse Ranch Vineyards
58724,Hoya de Cadenas 130 Anniversary,Vicente Gandia
58725,,Château Bellegrave
58726,,Château d'Escurac
58727,,Château La Rose Saint Germain
58728,,Circe
58729,Reserve,EOS
58730,,Fattoria Il Muro
58731,Lewis Vineyard Reserve,Frank Family
58732,Rust Rock Vineyard Reserve Estate,Gloria Ferrer
58733,Sangiacomo Vineyard,Gregory Graham
58734,,Louloute
58735,,Michael Sullberg
58736,Double Lariat Limited Production,Jamieson Ranch
58737,Estate Grown Seven Hills Vineyard,L'Ecole No. 41
58738,Mashup v. 2,Left Bend
58739,No. 254,Louis M. Martini
58740,Rosé of,Lynmar
58741,Coureur des Bois,Maison Bleue
58742,Rosé of,Martin Ray
58743,White Hawk Vineyard,Ojai
58744,Colheita,Perescuma
58745,Cuvée TT,Quinta das Marias
58746,The Contender Estate In the Rocks Vineyard,Reynvaan Family Vineyards
58747,Blanc de Blancs,Ridgeview Estate
58748,,Saggi
58749,Brut,Schramsberg
58750,Esencia Diviña,Adegas Gran Vinum
58751,Art Den Hoed Vineyard,Ardor
58752,Blanc de Blancs,Bolney Wine Estate
58753,Rediviva of the Stones Rockgarden Estate,Buty
58754,,Chester Kidder
58755,,Chimney Rock
58756,Vignoble d'E,Domaine Ostertag
58757,Cuvée Théo,Domaine Weinbach
58758,Turckheim,Domaine Zind-Humbrecht
58759,Jean Louis Vermeil Frediani Vineyard,Vermeil
58760,,Woodinville Wine Cellars
58761,The Archimage,Sleight of Hand
58762,Darkness,Sparkman
58763,Rincon Vineyard,Testarossa
58764,,Hertelendy
58765,,Idilico
58766,,Mt. Difficulty
58767,,Neyen
58768,Côte de Py Vieilles Vignes,Laurent Gauthier
58769,,Les Vins de Vienne
58770,Riserva,Luiano
58771,,Mercer Canyons
58772,Estate,Mount Eden Vineyards
58773,,Padelletti
58774,,Poggio di Sotto
58775,Vespera,Rocca
58776,Reserve,Rodney Strong
58777,,Rosa d'Oro
58778,Brut Reserve,Schloss Gobelsburg
58779,One Point Five,Shafer
58780,Baby Poux Vineyard,Sineann
58781,Essential,Bogle
58782,Moondance Dream,Cliff Lede
58783,Amplus Old Vine,Santa Ema
58784,RogerRose Vineyard,Joullian
58785,Vintner's Reserve,Kendall-Jackson
58786,Caballo Loco Number Fourteen,Valdivieso
58787,Fewel Family Estates Vineyard,Cultura
58788,Imperial Gran Reserva,CVNE
58789,Brut Rosé,Erich & Walter Polz
58790,,Esser
58791,The Gnome,Finn Hill
58792,Antoine Creek,Gramercy
58793,Yonder,Sparkman
58794,Walker Cuvée,Hovey
58795,Old Vine,Howell Mountain Vineyards
58796,Loire Valley,Sauvion
58797,Gravel Bed,Sebastiani
58798,,Sutcliffe
58799,,Tin Barn
58800,La Serrana,Page Springs
58801,Field Blend,Sutcliffe
58802,Vinho Atlântico,Herdade de São Miguel
58803,Old Vine,Kirkland Signature
58804,La Palaia,La Madonnina
58805,Stone Soil Select,Manos Negras
58806,Carbonile,Massi di Mandorlaia
58807,Incognito,Michael David
58808,,Mocali
58813,Reserve,Cedar Mountain
58814,,Doga delle Clavule
58815,Les Grenouilles Sec,Domaine du Petit Coteau
58816,,Enotria
58817,Altivo Vineyard Selection,Eugenio Bustos
58818,Piedra Negra Alta Colección,François Lurton
58819,Elsa Bianchi,Valentin Bianchi
58820,L'Elegante,Vignoble de la Jarnoterie
58821,Reserve,Vindemia
58822,Veni Vidi Vici,Vini
58823,Mettenheimer Michelsberg Kabinett,Weingut Geil
58824,XCV,Jada Vineyard & Winery
58825,Reserve,Argyle
58826,Union,Brave & Maiden
58827,Terras do Anjo Branco,Quinta do Pinto
58828,Duas Quintas Reserva Branco,Ramos-Pinto
58829,,Red Car
58830,Camp 4 Vineyard,Rideau
58831,Bricco Francesco Riserva,Rocche Costamagna
58832,Wehlener Sonnenuhr Auslese Grosse Lage,S.A. Prüm
58833,Bussia Riserva,Silvano Bolmida
58834,,Small Vines
58835,Goldtröpfchen Piesport Auslese Erste Lage,St. Urbans-Hof
58836,Patelin de Tablas Blanc,Tablas Creek
58837,Saulheimer Probstey Trocken,Thörle
58838,,B Side
58839,,Bazelet HaGolan
58840,Reserve,Binyamina
58841,Pipers River,Dalrymple
58842,Sluice Box,Donkey & Goat
58843,,El Enemigo
58844,Premium,Adega Cooperativa de Borba
58845,Le Nombre d'Or Brut Nature,Aubry
58846,Bussia Riserva,Barale Fratelli
58847,Castellero,Barale Fratelli
58848,Aeolian,Bethel Heights
58849,,Big Table Farm
58850,Dou Hauret,Château de Gayon
58851,Montmains Premier Cru,Domaine Gérard Duplessis
58852,Parej,Icardi
58853,Back Forty,PreVail
58854,,Morrison Lane
58855,La Perdrix,Clos Troteligotte
58856,Rosé Troteligotte,Clos Troteligotte
58857,Grand' Arte,DFJ Vinhos
58858,,Casa Catelli
58859,Edna Ranch,Tolosa
58860,,Tormaresca
58861,D'istinto,Calatrasi
58862,,Cantine Barbera
58863,Equilibré Red Wine,Couvillion Winery
58864,,Feudo Arancio
58865,,Feudo Principi di Butera
58866,Colección,Finca Los Maza
58867,,Red Truck
58868,Estate,Sawyer
58869,Esprit de Beaucastel,Tablas Creek
58870,,Tablas Creek
58871,Erdener Treppchen Kabinett,Stephan Ehlen
58872,,Swaii
58873,Reserva,Terra Andina
58874,Puerto Viejo Reserve,Viña Requingua
58875,Winemaker's Selection,Yali
58876,,Fairvalley
58877,,Fleur Du Cap
58878,,Fortant
58879,,Haras
58880,,Allan Scott
58881,Oak Lane,Beau Joubert
58882,dA Reserve,Domaines Astruc
58883,,Two Oceans
58884,Chapter 1,histoire
58885,,Little Black Dress
58886,The Heritage Collection,Peirano
58887,,St. Francis
58888,,Gala Rouge
58889,Vieilles Vignes,Domaine Jean Sipp
58890,,Domaine Marcel Deiss
58891,,Domaine Marcel Deiss
58892,Hochheimer Hölle Spätlese,Domdechant Werner
58893,Dutton Ranch Green Valley Vineyard,Dutton-Goldfield
58894,Emily's Paddock Shiraz-Cabernet Franc,Jasper Hill
58895,F,Bodegas Fuentespina
58896,,Center of Effort
58897,Wind Ridge Block,Chehalem
58898,Pfleck,Domaine Barmès-Buecher
58914,Ürziger Würzgarten Auslese,Dr. Loosen
58899,Les Élements,Domaine Bott-Geyl
58900,Vendanges Tardives,Domaine Schoffit
58901,Dutton Ranch Shop Block,Dutton-Goldfield
58902,La Bourgeoise,Henri Bourgeois
58903,Beckstoffer Georges III,Judge Palmer
58904,Trois Châteaux,Kuentz-Bas
58905,Profile 30th Anniversary,Merryvale
58906,Double L Vineyard,Morgan
58907,,Pine Ridge
58908,Holstein Vineyard,Purple Hands
58909,Teal Bartolucci Vineyards Big Valley Ranch Made With Organically Grown Grapes,Chacewater
58910,Le Bon Climat,Clendenen Family
58911,Schoenenbourg Grand Cru,Domaine de la Tour Blanche
58912,Roche Volcanique,Domaine Zind-Humbrecht
58913,Erdener Treppchen Auslese,Dr. Loosen
58915,Bien Nacido Vineyard,Fess Parker
58916,La Côte des Monts Damnés,Henri Bourgeois
58917,Pastorale Vineyard Estate Grown,Joseph Phelps
58918,Comtes d'Eguisheim,Leon Beyer
58919,Old Head,Matchbook
58920,,Mayu
58921,Castillo de Albai Crianza,Pagos del Rey
58922,Rosé of,Acrobat
58923,,Altesino
58924,Nicholas Estate,Anam Cara
58925,,Aquinas
58926,Vogelzang Vineyard,Baehner Fournier
58927,Sangiacomo Vineyard,Bruliam
58928,Gran Reserva Estate Bottled,Casas del Bosque
58929,Château Bazin,Cave du Marmandais
58930,Chemin de Compostelle,Château de Hauterive
58931,Vendanges Tardives,Château de Rhodes
58932,Cuvée des Conti,Château Tour des Gendres
58933,Alta Río Crianza,Consejo de la Alta
58934,Fearless,CUTT
58935,Ockfener Bockstein Spätlese,Dr. Fischer
58936,Trocken Alte Reben,Dr. Heyden
58937,Estate Grown,Envy
58938,,Falkner
58939,Spätlese,Fitz-Ritter
58940,Reserve Estate,Morse
58941,Colheita Seleccionada Branco,Herdade de São Miguel
58942,Mernet Reserve 35th Anniversary,Keenan
58943,,Ledger David
58944,Les Gourmands,L'Enclos des Braves
58945,Temperance Hill Vineyard Julia,Lumos
58946,Corralillo,Matetic
58947,,Monteverro
58948,PdM Moncayo,Pagos del Moncayo
58966,,Plantagenet
58949,Modler,Gebeshuber
58950,Steinhaus Reserve,Steininger
58951,Gebling,Hermann Moser
58952,Kammerner Heiligenstein,Hirsch
58953,Bricco Ambrogio,Paolo Scavino
58954,Deidesheimer Paradiesgarten Trocken,A. Christmann
58955,Grosse Reserve,Gebeshuber
58956,The Wild Pixie,D'Arenberg
58957,,Barons V
58958,,Château La Roche Bazin
58959,,Château Peugeais
58960,Olive Hill Estate Vineyards,B.R. Cohn
58961,Mith Red,Balboa
58962,Cannubi Riserva,Borgogno F.lli Serio e Battista
58963,,Cape Mentelle
58964,Estate,Chalk Hill
58965,Indian Wells,Chateau Ste. Michelle
58967,Johannisberg Hölle Erstes Gewächs,Johannishof
58968,Walsh Ranch,Judson Hale Winery
58969,Gossamer,Kontos
58970,LFE900,Luis Felipe Edwards
58971,Parr Vineyard,Maldonado
58972,Rosé,Julia's Dazzle
58973,Menzies The Cigar,Yalumba
58974,,Tulpen
58975,Loibner Frauenweingarten Federspiel,F X Pichler
58976,Bernkasteler Badstube Auslese,Dr. H. Thanisch (Erben Thanisch)
58977,,Dunham
58978,,B Side
58979,,Ferruccio Sgubin
58980,,La Castellada
58981,Braide Grande,Livon
58982,Selecção,Lobo
58983,Mongris Riserva,Marco Felluga
58984,Cuvée J.M. Rosé Brut,Monmousseau
58985,Kloof Street Old Vine,Mullineux
58986,,Muzic
58987,,Nieto Senetiner
58988,Incredible Red,Peachy Canyon
58989,Persephone Vineyard,Peju
58990,,Quinta de Sant'Ana
58991,,Quinta de Sant'Ana
58992,,Quinta do Vallado
58993,Ribbon Ridge Vineyard,Quintet
58994,RK,Reichsgraf von Kesselstatt
58995,Route 99W,RouteStock
58996,Quinta do Côa,Rui Roboredo Madeira
58997,Castello d'Alba Tinto Reserva,Rui Roboredo Madeira
58998,,Sarah's Vineyard
58999,,Sturm
59000,Starr Ridge Vineyard Estate,Thomas George
59001,,Tiefenbrunner
59002,Spice Trader,Heartland
59003,Shine,Heinz Eifel
59004,,Ninín
59005,,La Tunella
59006,Rosé Brut,Louis de Grenelle
59007,Scriptorium Bestiary,Mari
59008,Pfersigberg Grand Cru,Martin Schaetzel
59009,Gunsalus Vineyard,Expression 38
59010,Bechthold Vineyard,Fields
59011,Grand Rosé Brut,Gosset
59012,40th Anniversary Estate Grown,Grgich Hills
59013,Baby Bush,Hewitson
59014,Insouciance Brut Rosé,Huré Frères
59015,De Facto,Workman Ayer
59016,Tapestry Reserve,Beaulieu Vineyard
59017,Blanc de Blancs Brut,Brimoncourt
59018,Roureda Llicorella Anyada Clássic,Cellers Unió
59019,Scarlett,Challen
59020,Extra Brut,Chassenay d'Arce
59021,,Covington
59022,Appellation Series,Cru
59023,Canneto,D'Angelo
59024,,Sightglass
59025,Foundation,Structure
59026,Foundation,Structure
59027,Niclaire,Testarossa
59028,Vigna Rocca,Tre Monti
59029,StoneTree Vineyard,Two Vintners
59030,Vitrum,Viña Chocalan
59031,,Cepa 21
59032,Mes Vieilles Vignes Blanc de Blancs Brut,José Dhondt
59033,Vigna Madre,La Sibilla
59034,Les Marconnets Premier Cru,Labouré-Roi
59035,Cuvée Alexandre Viñedo Apalta,Lapostolle
59127,Steingrubler Grand Cru,Wunsch & Mann
59036,,Le Cadeau
59037,Vitae Springs Vineyard,Minimus
59038,,Mt. Brave
59039,,Sarah's Vineyard
59040,,Ste. Chapelle
59041,D.R. Wolfe's Family,Thurston Wolfe
59042,Private Reserve Estate,Guglielmo
59043,Reserve,Caligiore
59044,,Ste. Chapelle
59045,Terroir Series Corte Malbec-Cabernet-Petit Verdot,Kaiken
59046,,Kirkland Signature
59047,,La Serena
59048,Buttner Vineyard,Las Positas
59049,Four Mile Creek,Novy
59050,Fordbidden,Patterson
59051,,Pezat
59052,,Castle Rock
59053,,Château d'Arvigny
59054,Prestige,Château de Callac
59055,,Château Guillebot Plaisance
59056,,Château Le Bourdieu
59057,,Château Lousteauneuf
59058,,Sagelands
59059,,Condado de Oriza
59060,Estate Grown,Willow Crest
59061,,Château du Parc
59062,Lawrence Vineyards,Gård
59063,,Ombu
59064,,Black Box
59065,,Peique
59066,,Rock View
59067,,Sagelands
59068,Vintner's Reserve,Hosmer
59069,Curry Creek Vineyards,Red Newt Cellars
59070,,Remo Farina
59071,"Kristen''s Viognier, Nelson Ranch",Rock Wall
59072,,Roza Ridge
59073,,Sebastiani
59074,The Magician Evergreen Vineyard White Wine,Sleight of Hand
59075,Saarloos Vineyard,Stark
59076,Acinatico,Stefano Accordini
59077,Trust Winery Limited,Stephen & Walker
59078,Anta Reserve,Telteca
59079,,The White Knight
59080,Reserve,Thurston Wolfe
59081,Campo San Vito,Villa Monteleone
59082,,Bolla
59083,The Ruins,Bon Cap
59084,Torre d'Orti Pastoria,Cavalchina
59085,Negraro,Fabiano
59086,Cuvée Clive,Graham Beck
59087,Il Valpolicella Ripasso Superiore,La Collina dei Ciliegi
59088,Reserva,Ramón Bilbao
59089,Flygirl,Airfield Estates
59090,Domaine Long-Depaquit,Albert Bichot
59091,La Maladière Premier Cru,André Guichot
59168,,Virgin
59092,IV,Artemayor
59093,,Atwater
59094,,Baxter
59095,Run Dog Vineyard,Baxter
59096,,Bernard Defaix
59097,The Vincent,Board Track Racer
59098,Donna Lisa Riserva,Leone de Castris
59099,V Block,Liparita
59100,Mux Tinto,Muxagat
59101,,Querciavalle
59102,Brut Satèn,Contadi Castaldi
59103,Alexander's Crown,Rodney Strong
59104,Spécial Club Chouilly Grand Cru Blanc de Blancs Brut,Roland Champion
59105,,Summers
59106,Outeiro,Terras de Alter
59107,Quarter Mile Lane Vineyard,Adelsheim
59108,Viu 1,Viu Manent
59109,Brut Rosé Réserve,Charles Heidsieck
59110,Cuvée Prédilection,Château Moncontour
59111,Conceito,Conceito Vinhos
59112,Jewell Block Vineyard Dutton Ranch,Dutton Estate
59113,Seven Springs Vineyard Red Queen,Evening Land
59114,Camp Meeting Ridge Estate Vineyard,Flowers
59115,Tinaquaic Vineyard,Foxen
59116,Premier Cru Brut,Gaston Chiquet
59117,,Adelsheim
59118,Special Cuvée Brut,Bollinger
59119,Coast Range Estate,Trisaetum
59120,,Hendry
59121,Reserva,Quinta dos Murças
59122,Principe di Renieri,Renieri
59123,Black Label,Roadhouse Winery
59124,Vendemmia Tardiva,Sada
59125,Cinq Cépages,Chateau St. Jean
59126,Estate Grown,Etude
59128,Estate Grown,Mettler Family Vineyards
59129,,Doukénie
59130,Domaine Paradis,Georges Duboeuf
59131,Sangre de Toro,Torres
59132,,Villa Toscano
59133,Les Amis,Vin du Lac
59134,Que Syrah Vineyard,Bodega Rancho
59135,Bordón Reserva,Bodegas Franco-Españolas
59136,The Furst,Cave de Kientzheim-Kaysersberg
59137,Indian Wells,Chateau Ste. Michelle
59138,Dry,Chateau Ste. Michelle
59139,Réserve,Domaine Fernand Engel
59140,Memòro,Piccini
59141,,Lovingston
59142,Virgola,Marchesi Ginori Lisci
59143,,Torre di Luna
59144,,Fuse
59145,,Zinio
59146,Saint-Rémy,Wunsch & Mann
59147,True Grit,Parducci
59148,Vin Blancs,R2
59149,,Running Brook
59150,Estates,Mount Pleasant Winery
59151,,André Kientzler
59152,Deep Silence,Attimo
59153,Elerding Vineyard,Northwest Totem Cellars
59154,Family,Sausal
59155,Crianza,Señorío de Sarria
59156,Gravelstone,Jekel
59157,Finca La Linda,Luigi Bosca
59158,Reserve Pony,Mazzocco
59159,,Mounts
59160,Saralee's Vineyard & Genetti Vineyard,New Departure
59161,Coastal Series,Arrow Creek
59162,Coastal Series,Arrow Creek
59163,Reserva,Bodegas Alconde
59164,,Camelot
59165,Tradition,Château Saint Martin de la Garrigue
59166,Tinto Fundación,Vila
59167,,Villa Rubini
59170,,Woodbridge by Robert Mondavi
59171,Cabriz Colheita Seleccionada,Dão Sul
59172,Portada Rosé,DFJ Vinhos
59173,,Avenue
59174,,Bodega Norton
59175,Bianco Di California,Ca' Momi
59176,Serradayres Reserva,Caves Velhas
59177,,Chañarmuyo
59178,Quail Series Fumé Blanc,Covey Run
59179,Tinto Barrica,Don Ramón
59180,Paragon Vineyard,Baker & Brain
59181,,Bell
59182,,Caldera
59183,Casa da Passarella A Descoberta Colheita,Casa da Passarella
59184,Somontes Colheita Branco,Casa da Passarella
59185,Cape Roca Boat,Casca Wines
59186,,Castello d'Albola
59187,,Château Arnaud
59188,Colheita Seleccionada,Quinta do Casal Monteiro
59189,Carpoli,Sada
59190,SOLO,Silverado
59191,,Swanson
59192,,Valley Legend
59193,Cuvée Victoria,Andrieux & Fils
59194,Limited Edition,Viña Pérez Cruz
59195,Les Charmes de Magnol,Château Magnol
59196,Stoller Vineyards,Chehalem
59197,,Curtis
59198,Mersault-Charmes Premier Cru,Domaine Jean Monnier et Fils
59199,Conde de Vimioso Extra Bruto,Falua
59200,Brut Vintage,Fratelli Berlucchi
59201,Rosella's Vineyard,Furthermore
59202,,Whitehall Lane
59203,,Artesana
59204,Arcturus,Astrale e Terra
59205,La Cengia,Begali
59206,,Bell
59207,Estate Grown,Benton-Lane
59208,,Villa Noria
59209,Il Poggio dei Vigneti,Natale Verga
59210,,Valley of the Moon
59211,Anna Maria,Valley View
59212,Terras de Felgueiras,Vercoope
59213,,Vidigal
59214,La Palma Reserva,Viña La Rosa
59215,,Redbreast
59216,,Stickybeak
59217,,Torii Mor
59218,,Cuvée de Peña
59219,,Del Rio
59220,,Devorah Creek
59221,,Domaine Vico
59222,,Forest Glen
59223,Estate Grown Dry,Grgich Hills
59224,Sans Soufre Ajouté,Henri Milan
59225,Fonte Venna,Il Feuduccio Di S. Maria D'Orni
59226,,Lang & Reed
59227,Centauri,O. Fournier
59228,Urban Maule,O. Fournier
59229,Reserva,Rios de Chile
59230,Arena Valley Vineyard,Snake River
59231,Bouquet de Cavagnac,Domaine de Cause
59232,,Château l'Espérance
59233,Spanish Springs Vineyard,Croma Vera
59234,,Demarie
59235,Sur Lie,Domaine du Haut Bourg
59236,Ascheri,Ellena
59237,Roble,Encanto
59238,,Finca Jakue
59239,Domaine des Côtes Blanches,François Millet
59240,Una,Golser Wein
59241,Veltlinsky,Graf Hardegg
59242,Mouton Cadet,Baron Philippe de Rothschild
59243,Mouton Cadet,Baron Philippe de Rothschild
59244,,Bigi
59245,,Buried Cane
59246,,château Peychaud
59266,,Villa Pozzi
59247,,Château Ramage la Batisse
59248,,Château Roc de Minvielle
59249,Viña Real,CVNE
59250,Dark Phantom,Graveyard
59251,Les Hauts de la Gaffelière,Maison Malet Roquefort
59252,Les Rochettes,Domaine les Pins
59253,,Edna Valley Vineyard
59254,,Wine o'Clock
59255,,Wine o'Clock
59256,Vendimia Seleccionada,Viña Mayor
59257,Culloden Vineyard,Mercer
59258,Spice Cabinet Vineyard,Mercer
59259,,Nielson by Byron
59260,Old Soul,Oak Ridge
59261,Brunate,Oddero
59262,Cedarosa,Lost River
59263,Family Estate Vineyard,Manzoni
59264,,Heron
59265,Poggio Bidini,Valle dell'Acate
59267,Hell Raiser,Yarraman
59268,Estate Bottled,Apaltagua
59269,Two Vines,Columbia Crest
59270,,Domaine Pommier
59271,,Dominican Oaks
59272,,Lionheart
59273,,Santa Ema
59274,Reserve,Snoqualmie
59275,Cyrano,Snosrap
59276,,Five Rivers
59277,,Fontana Candida
59278,Serra del Conte,Garofoli
59279,,Greg Norman California Estates
59280,,Col di Lamo
59281,Casillero del Diablo Reserve,Concha y Toro
59282,,Crowded House
59283,Rosato Romantico,Westbrook Wine Farm
59284,,Moser Scharding
59285,Miller Ranch,Silverado
59286,Clos Figueres,Clos Figueras
59321,Réserve,Leon Beyer
59287,Real de Asúa,CVNE
59288,Fe Ciega Vineyard,Foxen
59289,Carneros Cuvée,Gloria Ferrer
59290,,Poet's Leap
59291,Quinta de Roriz Vintage,Prats & Symington LDA
59292,,Robert Craig
59293,Stagecoach Vineyard,Sequoia Grove
59294,,Shoup
59295,Les Combettes,Château Fuissé
59296,Collaboration Series VI Ciel du Cheval Vineyard,Force Majeure
59297,,Hall
59298,Vintage,Offley
59299,Vintage,Quinta do Pego
59300,Cambium,Sequoia Grove
59301,Trockenbeerenaulese,Angerhof Tschida
